name,cv_auc_mean,cv_auc_std,cv_brier_mean,cv_brier_std,cv_logloss_mean,cv_logloss_std
Logistic Regression,0.8059440631949739,0.01608837635967396,0.07466467515492178,0.0020601447151188156,0.26127931583187375,0.007718010274188097
Gradient Boosting,0.803015910250067,0.02060623255622077,0.07540802485132173,0.00247792005643557,0.2630361370497244,0.009228890072358277
XGBoost,0.8044030861562751,0.01989449295205938,0.07519913965498778,0.0020960516995713074,0.2622871409868808,0.0079484342342986
