name,mean,ci_low,ci_high
Logistic Regression,0.7995875878711507,0.7739730708060014,0.82405888840701
Gradient Boosting,0.8010700819210612,0.7747022059514984,0.8256879991473149
XGBoost,0.801562619929664,0.7750718791747213,0.8263391161812002
StatsBomb xG,0.8239571536901811,0.7991635816519002,0.8465548764608101
