player_name,team_name,competitions,shots,matches,goals,xg,xg_diff,per_shot_overperf,floor_95ci,ceiling_95ci,reliably_positive
Marcus Rashford,England,"['FIFA World Cup', 'UEFA Euro']",18,9,4,3.43,0.57,0.0319,-0.1397,0.2232,False
Diego Roberto Godín Leal,Atlético Madrid,['La Liga'],26,16,1,3.28,-2.28,-0.0876,-0.1405,-0.0182,False
Nordin Amrabat,Málaga,['La Liga'],28,11,0,2.51,-2.51,-0.0896,-0.1439,-0.0525,False
Ismaïla Sarr,Senegal,"['African Cup of Nations', 'FIFA World Cup']",20,10,2,2.85,-0.85,-0.0423,-0.1442,0.0838,False
Mostafa Mohamed Ahmed Abdallah,Egypt,['African Cup of Nations'],15,4,4,3.32,0.68,0.0453,-0.1464,0.2507,False
Christian Dannemann Eriksen,Denmark,"['FIFA World Cup', 'UEFA Euro']",18,8,1,1.56,-0.56,-0.0309,-0.1467,0.099,False
Sérgio Paulo Barbosa Valente,Málaga,['La Liga'],23,15,1,2.19,-1.19,-0.0518,-0.1473,0.0573,False
Adil Rami,Sevilla,['La Liga'],16,11,0,1.88,-1.88,-0.1176,-0.151,-0.0869,False
Munir El Haddadi Mohamed,Barcelona,['La Liga'],17,11,3,3.51,-0.51,-0.0302,-0.1527,0.1138,False
Tiago Manuel Dias Correia,Cape Verde Islands,['African Cup of Nations'],17,4,1,1.52,-0.52,-0.0307,-0.1588,0.1304,False
John Stones,England,"['FIFA World Cup', 'UEFA Euro']",15,10,2,2.35,-0.35,-0.0234,-0.1596,0.1483,False
Samantha May Kerr,Australia Women's,"[""Women's World Cup""]",20,4,5,4.86,0.14,0.007,-0.1635,0.1916,False
Enzo Fernandez,Argentina,"['Copa America', 'FIFA World Cup']",15,10,1,1.45,-0.45,-0.0301,-0.1771,0.1556,False
Pablo Pérez Rodríguez,Sporting Gijón,['La Liga'],18,10,0,2.12,-2.12,-0.118,-0.1778,-0.0707,False
David Barral Torres,Granada,['La Liga'],17,10,0,2.13,-2.13,-0.1252,-0.1813,-0.0795,False
Lucas Tolentino Coelho de Lima,Brazil,"['Copa America', 'FIFA World Cup']",15,5,2,2.6,-0.6,-0.0397,-0.1912,0.1389,False
Emma Stina Blackstenius,Sweden Women's,"[""UEFA Women's Euro"", ""Women's World Cup""]",31,10,3,6.18,-3.18,-0.1024,-0.1994,0.0105,False
Janine Elizabeth Sonis,Canada Women's,"[""Women's World Cup""]",17,4,0,1.76,-1.76,-0.1034,-0.2001,-0.0309,False
Gerard Moreno Balaguero,Spain,['UEFA Euro'],18,5,2,3.83,-1.83,-0.1018,-0.2028,-0.0054,False
Abraham González Casanova,Espanyol,['La Liga'],16,9,1,2.39,-1.39,-0.087,-0.2094,0.0567,False
Rodrygo Silva de Goes,Brazil,"['Copa America', 'FIFA World Cup']",17,7,0,2.21,-2.21,-0.1297,-0.212,-0.0728,False
Carli Anne Hollins,United States Women's,"[""Women's World Cup""]",17,4,3,3.3,-0.3,-0.0179,-0.2258,0.1982,False
Ricky van Wolfswinkel,Real Betis,['La Liga'],15,9,1,2.7,-1.7,-0.1135,-0.2325,0.0324,False
Marcus Berg,Sweden,"['FIFA World Cup', 'UEFA Euro']",17,7,0,3.44,-3.44,-0.2023,-0.2812,-0.1268,False
