name,auc,brier,log_loss,avg_precision
Logistic Regression,0.8210581155506412,0.06629230627106188,0.2382383458150238,0.46186027966288334
Gradient Boosting,0.8164841474046824,0.06786359073220499,0.24231196906707902,0.437658561478091
StatsBomb xG (reference),0.8384204818508517,0.06391650618225682,0.22944586723551672,0.4923207791008638
