player_name,team_name,shots,goals,xg,xg_diff,xg_per_shot
Carlos Alberto Vela Garrido,Mexico,10,1,1.69,-0.69,0.169
Tomáš Souček,Czech Republic,11,0,0.72,-0.72,0.065
Alexander Isak,Sweden,8,0,0.76,-0.76,0.095
Ante Rebić,Croatia,20,1,1.77,-0.77,0.088
Ricardo Iván Rodríguez Araya,Switzerland,9,0,0.87,-0.87,0.097
Lionel Andrés Messi Cuccittini,Argentina,18,1,1.94,-0.94,0.108
Pierre-Emile Højbjerg,Denmark,8,0,0.95,-0.95,0.118
Mathew Leckie,Australia,9,0,0.95,-0.95,0.106
Débora Cristiane de Oliveira,Brazil Women's,12,0,0.96,-0.96,0.08
Manuel Obafemi Akanji,Switzerland,9,1,1.98,-0.98,0.221
Danielle van de Donk,Netherlands Women's,8,0,1.0,-1.0,0.125
Mateo Kovačić,Croatia,9,0,1.03,-1.03,0.114
Thomas Müller,Germany,10,0,1.03,-1.03,0.103
Timo Werner,Germany,9,0,1.09,-1.09,0.121
Gerard Piqué Bernabéu,Spain,9,1,2.09,-1.09,0.232
David Josué Jiménez Silva,Spain,10,0,1.13,-1.13,0.113
Ruslan Malinovskiy,Ukraine,10,0,1.13,-1.13,0.113
Michy Batshuayi Tunga,Belgium,8,1,2.17,-1.17,0.271
Jorge Resurrección Merodio,Spain,9,0,1.22,-1.22,0.135
Olivier Giroud,France,18,1,2.25,-1.25,0.125
Andrea Belotti,Italy,11,1,2.26,-1.26,0.205
Burak Yılmaz,Turkey,10,0,1.26,-1.26,0.126
Mats Hummels,Germany,11,0,1.39,-1.39,0.126
Sergio Busquets i Burgos,Spain,9,0,1.41,-1.41,0.156
Gabriel Fernando de Jesus,Brazil,10,0,1.49,-1.49,0.149
Gareth Frank Bale,Wales,10,0,1.52,-1.52,0.152
Nikita Parris,England Women's,10,1,2.53,-1.53,0.253
Gerard Moreno Balaguero,Spain,18,2,3.59,-1.59,0.199
Aleksandar Mitrović,Serbia,16,1,2.77,-1.77,0.173
Janine Elizabeth Sonis,Canada Women's,17,0,1.91,-1.91,0.112
Daniel Olmo Carvajal,Spain,24,1,2.92,-1.92,0.122
Neymar da Silva Santos Junior,Brazil,27,2,4.72,-2.72,0.175
Marcus Berg,Sweden,17,0,2.76,-2.76,0.162
